Rank,Municipality,State,2000 Population,1990 Population,Change in Population
373,Lake Charles city,Louisiana,71757,70580,1.70%
374,New Britain city,Connecticut,71538,75491,-5.20%
375,Melbourne city,Florida,71382,59646,19.70%
376,Bethlehem city,Pennsylvania,71329,71428,-0.10%
377,Gulfport city,Mississippi,71127,40775,74.40%
378,Longmont city,Colorado,71093,51555,37.90%
379,Mountain View city,California,70708,67460,4.80%
380,Lee's Summit city,Missouri,70700,46418,52.30%
381,Kenner city,Louisiana,70517,72033,-2.10%
382,Hillsboro city,Oregon,70186,37520,87.10%
383,Appleton city,Wisconsin,70087,65695,6.70%
384,Newport Beach city,California,70032,66643,5.10%
385,Lynwood city,California,69845,61945,12.80%
386,East Orange city,New Jersey,69824,73552,-5.10%
387,Deltona city,Florida,69543,50828,36.80%
388,Largo city,Florida,69371,65674,5.60%
389,Wyoming city,Michigan,69368,63891,8.60%
390,Bloomington IN city,Indiana,69291,60633,14.30%
391,Asheville city,North Carolina,68889,61607,11.80%
392,Rochester Hills city,Michigan,68825,61766,11.40%
393,Murfreesboro city,Tennessee,68816,44922,53.20%
394,Waterloo city,Iowa,68747,66467,3.40%
395,Lorain city,Ohio,68652,71245,-3.60%
396,Clovis city,California,68468,50323,36.10%
397,Upland city,California,68393,63374,7.90%
398,Mount Vernon city,New York,68381,67153,1.80%
399,West Jordan city,Utah,68336,42892,59.30%
400,Edmond city,Oklahoma,68315,52315,30.60%
401,College Station city,Texas,67890,52456,29.40%
402,Passaic city,New Jersey,67861,58041,16.90%
403,Champaign city,Illinois,67518,63502,6.30%
404,Tustin city,California,67504,50689,33.20%
405,Muncie city,Indiana,67430,71035,-5.10%
406,Brooklyn Park city,Minnesota,67388,56381,19.50%
407,Bellingham city,Washington,67171,52179,28.70%
408,Chino city,California,67168,59682,12.50%
409,Union City city NJ,New Jersey,67088,58012,15.60%
410,Union City city CA,California,66869,53762,24.40%
411,Chino Hills city,California,66787,27608,141.90%
412,Jacksonville city NC,North Carolina,66715,30013,122.30%
413,Baytown city,Texas,66430,63850,4.00%
414,Sparks city,Nevada,66346,53367,24.30%
415,Pontiac city,Michigan,66337,71166,-6.80%
416,Gastonia city,North Carolina,66277,54732,21.10%
417,Plymouth city,Minnesota,65894,50889,29.50%
418,Taylor city,Michigan,65868,70811,-7.00%
419,Bryan city,Texas,65660,55002,19.40%
420,Palatine village,Illinois,65479,39253,66.80%
421,Springfield city OH,Ohio,65358,70487,-7.30%
422,Lynchburg city,Virginia,65269,66049,-1.20%
423,Waukesha city,Wisconsin,64825,56958,13.80%
424,Bloomington IL city,Illinois,64808,51972,24.70%
425,Deerfield Beach city,Florida,64583,46325,39.40%
426,Walnut Creek city,California,64296,60569,6.20%
427,Portland city ME,Maine,64249,64358,-0.20%
428,Daytona Beach city,Florida,64112,61921,3.50%
429,Victorville city,California,64029,40674,57.40%
430,Merced city,California,63893,56216,13.70%
431,Suffolk city,Virginia,63677,52141,22.10%
432,Pleasanton city,California,63654,50553,25.90%
433,Redlands city,California,63591,60394,5.30%
434,Eagan city,Minnesota,63557,47409,34.10%
435,Pico Rivera city,California,63428,59177,7.20%
436,Skokie village,Illinois,63348,59432,6.60%
437,Sugar Land city,Texas,63328,24529,158.20%
438,Redondo Beach city,California,63261,60167,5.10%
439,Medford city OR,Oregon,63154,46951,34.50%
440,St. Clair Shores city,Michigan,63096,68107,-7.40%
441,Oshkosh city,Wisconsin,62916,55006,14.40%
442,Hoover city,Alabama,62742,39788,57.70%
443,Milpitas city,California,62698,50686,23.70%
444,Hesperia city,California,62582,50418,24.10%
445,Iowa City city,Iowa,62220,59738,4.20%
446,Santa Fe city,New Mexico,62203,55859,11.40%
447,Montebello city,California,62150,59564,4.30%
448,Laguna Niguel city,California,61891,44400,39.40%
449,Bayonne city,New Jersey,61842,61444,0.60%
450,Schenectady city,New York,61821,65566,-5.70%
451,Saginaw city,Michigan,61799,69512,-11.10%
452,Eau Claire city,Wisconsin,61704,56856,8.50%
453,Coon Rapids city,Minnesota,61607,52978,16.30%
454,Huntington Park city,California,61348,56065,9.40%
455,West Allis city,Wisconsin,61254,63221,-3.10%
456,Round Rock city,Texas,61136,30923,97.70%
457,Hamilton city,Ohio,60690,61368,-1.10%
458,Utica city,New York,60651,68637,-11.60%
459,Victoria city,Texas,60603,55076,10.00%
460,South San Francisco city,California,60552,54312,11.50%
461,Greenville city NC,North Carolina,60476,44972,34.50%
462,North Little Rock city,Arkansas,60433,61741,-2.10%
463,Boynton Beach city,Florida,60389,46194,30.70%
464,St. Charles city,Missouri,60321,54555,10.60%
465,Davis city,California,60308,46209,30.50%
466,Burnsville city,Minnesota,60220,51288,17.40%
467,Royal Oak city,Michigan,60062,65410,-8.20%
467,Bristol city,Connecticut,60062,60640,-1.00%
