Rank,Author,Total New Downloads
425,"Madhani, Pankaj M.",3357
426,"Lambert, Thomas",3356
427,"Mutua, Makau",3354
428,"Stout, Lynn A.",3347
429,"Bartram, Söhnke M.",3342
430,"Hasan, Iftekhar",3340
431,"Cohen, Alma",3338
432,"Hamari, Juho",3332
433,"Verdi, Rodrigo S.",3329
434,"Fox, Merritt B.",3325
435,"Koehler, Mike",3323
436,"Sanchez-Graells, Albert",3318
437,"Carabias, Jose M.",3316
438,"Armstrong, Chris S.",3314
439,"Harris, Robert S.",3311
440,"Stucke, Maurice E.",3307
441,"Richardson, Matthew P.",3306
442,"Popli, G. S.",3298
443,"Aneja, Abhay",3298
444,"Antonov, Alexandre",3296
445,"Senftleben, Martin",3291
446,"Jones, Owen D.",3290
447,"Polsky, Gregg D.",3289
448,"Lucey, Brian M.",3288
449,"Luther, William J.",3288
450,"Omer, Thomas C.",3286
451,"Brown, Ian",3278
452,"Scherer, Andreas G.",3278
453,"Klapper, Leora F.",3268
454,"Jacobs, Kris",3266
455,"Ivanov, Stanislav H.",3265
456,"Duflo, Esther",3262
457,"DeAngelo, Harry",3252
458,"Klement, Joachim",3247
459,"Easley, David",3245
460,"White, Alan",3244
461,"Watts, Ross L.",3244
462,"Nottage, Luke R.",3242
463,"Smits, Jan M.",3241
464,"Mitchell, Andrew D.",3241
465,"Van Alstyne, Marshall W.",3238
466,"Zhang, Alexandria",3230
467,"Geczy, Christopher C.",3224
468,"Myers, Linda A.",3224
469,"Bolton, Patrick",3221
470,"Schill, Michael J.",3211
471,"Strong, S.I.",3211
472,"Chordia, Tarun",3210
473,"Robinson, Paul H.",3209
474,"Wadhwa, Vivek",3204
475,"Ramanna, Karthik",3199
476,"Harcourt, Bernard E.",3196
477,"Banerjee, Abhijit V.",3194
478,"Martin, Gerald S.",3194
479,"Vogel, Jack",3183
480,"Strebulaev, Ilya A.",3174
481,"Core, John E.",3174
482,"Ringe, Wolf-Georg",3165
483,"Engle, Eric A.",3161
484,"Zhang, Frank",3156
485,"Lang, Mark H.",3154
486,"Borio, Claudio E.",3147
487,"Greenstone, Michael",3147
488,"Shojai, Shahin",3143
489,"Walters, CFA, Jay",3135
490,"Girgis, Sherif",3131
491,"Monk, Ashby H.",3129
492,"Sjöklint, Mimmi",3124
493,"Hoberg, Gerard",3123
494,"Ukkonen, Antti",3111
495,"Bix, Brian",3102
496,"Wermers, Russ R.",3102
497,"Balkin, Jack M.",3094
498,"Kim, Jeong-Bon",3092
499,"Milanovic, Marko",3087
500,"Koops, Bert-Jaap",3086
